Table;Field;Type;Null;Key;Default;Extra
"authmap";"uid";int unsigned;"NO";"PRI";0;""
"authmap";"provider";varchar(128);"NO";"PRI";;""
"authmap";"authname";varchar(128);"NO";"MUL";;""
"authmap";"data";longblob;"YES";"";\N;""
"batch";"bid";int unsigned;"NO";"PRI";\N;""
"batch";"token";varchar(64);"NO";"MUL";\N;""
"batch";"timestamp";int;"NO";"";\N;""
"batch";"batch";longblob;"YES";"";\N;""
"block_content";"id";int unsigned;"NO";"PRI";\N;"auto_increment"
"block_content";"revision_id";int unsigned;"YES";"UNI";\N;""
"block_content";"type";varchar(32);"NO";"MUL";\N;""
"block_content";"uuid";varchar(128);"NO";"UNI";\N;""
"block_content";"langcode";varchar(12);"NO";"";\N;""
"block_content__body";"bundle";varchar(128);"NO";"MUL";;""
"block_content__body";"deleted";tinyint;"NO";"PRI";0;""
"block_content__body";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content__body";"revision_id";int unsigned;"NO";"MUL";\N;""
"block_content__body";"langcode";varchar(32);"NO";"PRI";;""
"block_content__body";"delta";int unsigned;"NO";"PRI";\N;""
"block_content__body";"body_value";longtext;"NO";"";\N;""
"block_content__body";"body_summary";longtext;"YES";"";\N;""
"block_content__body";"body_format";varchar(255);"YES";"MUL";\N;""
"block_content__field_immagine";"bundle";varchar(128);"NO";"MUL";;""
"block_content__field_immagine";"deleted";tinyint;"NO";"PRI";0;""
"block_content__field_immagine";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content__field_immagine";"revision_id";int unsigned;"NO";"MUL";\N;""
"block_content__field_immagine";"langcode";varchar(32);"NO";"PRI";;""
"block_content__field_immagine";"delta";int unsigned;"NO";"PRI";\N;""
"block_content__field_immagine";"field_immagine_target_id";int unsigned;"NO";"MUL";\N;""
"block_content__field_immagine";"field_immagine_alt";varchar(512);"YES";"";\N;""
"block_content__field_immagine";"field_immagine_title";varchar(1024);"YES";"";\N;""
"block_content__field_immagine";"field_immagine_width";int unsigned;"YES";"";\N;""
"block_content__field_immagine";"field_immagine_height";int unsigned;"YES";"";\N;""
"block_content__field_link";"bundle";varchar(128);"NO";"MUL";;""
"block_content__field_link";"deleted";tinyint;"NO";"PRI";0;""
"block_content__field_link";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content__field_link";"revision_id";int unsigned;"NO";"MUL";\N;""
"block_content__field_link";"langcode";varchar(32);"NO";"PRI";;""
"block_content__field_link";"delta";int unsigned;"NO";"PRI";\N;""
"block_content__field_link";"field_link_uri";varchar(2048);"YES";"MUL";\N;""
"block_content__field_link";"field_link_title";varchar(255);"YES";"";\N;""
"block_content__field_link";"field_link_options";longblob;"YES";"";\N;""
"block_content__field_sottotitolo";"bundle";varchar(128);"NO";"MUL";;""
"block_content__field_sottotitolo";"deleted";tinyint;"NO";"PRI";0;""
"block_content__field_sottotitolo";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content__field_sottotitolo";"revision_id";int unsigned;"NO";"MUL";\N;""
"block_content__field_sottotitolo";"langcode";varchar(32);"NO";"PRI";;""
"block_content__field_sottotitolo";"delta";int unsigned;"NO";"PRI";\N;""
"block_content__field_sottotitolo";"field_sottotitolo_value";longtext;"NO";"";\N;""
"block_content__field_sottotitolo";"field_sottotitolo_format";varchar(255);"YES";"MUL";\N;""
"block_content_field_data";"id";int unsigned;"NO";"PRI";\N;""
"block_content_field_data";"revision_id";int unsigned;"NO";"MUL";\N;""
"block_content_field_data";"type";varchar(32);"NO";"MUL";\N;""
"block_content_field_data";"langcode";varchar(12);"NO";"PRI";\N;""
"block_content_field_data";"status";tinyint;"NO";"MUL";\N;""
"block_content_field_data";"info";varchar(255);"YES";"";\N;""
"block_content_field_data";"changed";int;"YES";"";\N;""
"block_content_field_data";"reusable";tinyint;"YES";"";\N;""
"block_content_field_data";"default_langcode";tinyint;"NO";"";\N;""
"block_content_field_data";"revision_translation_affected";tinyint;"YES";"";\N;""
"block_content_field_revision";"id";int unsigned;"NO";"MUL";\N;""
"block_content_field_revision";"revision_id";int unsigned;"NO";"PRI";\N;""
"block_content_field_revision";"langcode";varchar(12);"NO";"PRI";\N;""
"block_content_field_revision";"status";tinyint;"NO";"";\N;""
"block_content_field_revision";"info";varchar(255);"YES";"";\N;""
"block_content_field_revision";"changed";int;"YES";"";\N;""
"block_content_field_revision";"default_langcode";tinyint;"NO";"";\N;""
"block_content_field_revision";"revision_translation_affected";tinyint;"YES";"";\N;""
"block_content_revision";"id";int unsigned;"NO";"MUL";\N;""
"block_content_revision";"revision_id";int unsigned;"NO";"PRI";\N;"auto_increment"
"block_content_revision";"langcode";varchar(12);"NO";"";\N;""
"block_content_revision";"revision_user";int unsigned;"YES";"MUL";\N;""
"block_content_revision";"revision_created";int;"YES";"";\N;""
"block_content_revision";"revision_log";longtext;"YES";"";\N;""
"block_content_revision";"revision_default";tinyint;"YES";"";\N;""
"block_content_revision__body";"bundle";varchar(128);"NO";"MUL";;""
"block_content_revision__body";"deleted";tinyint;"NO";"PRI";0;""
"block_content_revision__body";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__body";"revision_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__body";"langcode";varchar(32);"NO";"PRI";;""
"block_content_revision__body";"delta";int unsigned;"NO";"PRI";\N;""
"block_content_revision__body";"body_value";longtext;"NO";"";\N;""
"block_content_revision__body";"body_summary";longtext;"YES";"";\N;""
"block_content_revision__body";"body_format";varchar(255);"YES";"MUL";\N;""
"block_content_revision__field_immagine";"bundle";varchar(128);"NO";"MUL";;""
"block_content_revision__field_immagine";"deleted";tinyint;"NO";"PRI";0;""
"block_content_revision__field_immagine";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_immagine";"revision_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_immagine";"langcode";varchar(32);"NO";"PRI";;""
"block_content_revision__field_immagine";"delta";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_immagine";"field_immagine_target_id";int unsigned;"NO";"MUL";\N;""
"block_content_revision__field_immagine";"field_immagine_alt";varchar(512);"YES";"";\N;""
"block_content_revision__field_immagine";"field_immagine_title";varchar(1024);"YES";"";\N;""
"block_content_revision__field_immagine";"field_immagine_width";int unsigned;"YES";"";\N;""
"block_content_revision__field_immagine";"field_immagine_height";int unsigned;"YES";"";\N;""
"block_content_revision__field_link";"bundle";varchar(128);"NO";"MUL";;""
"block_content_revision__field_link";"deleted";tinyint;"NO";"PRI";0;""
"block_content_revision__field_link";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_link";"revision_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_link";"langcode";varchar(32);"NO";"PRI";;""
"block_content_revision__field_link";"delta";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_link";"field_link_uri";varchar(2048);"YES";"MUL";\N;""
"block_content_revision__field_link";"field_link_title";varchar(255);"YES";"";\N;""
"block_content_revision__field_link";"field_link_options";longblob;"YES";"";\N;""
"block_content_revision__field_sottotitolo";"bundle";varchar(128);"NO";"MUL";;""
"block_content_revision__field_sottotitolo";"deleted";tinyint;"NO";"PRI";0;""
"block_content_revision__field_sottotitolo";"entity_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_sottotitolo";"revision_id";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_sottotitolo";"langcode";varchar(32);"NO";"PRI";;""
"block_content_revision__field_sottotitolo";"delta";int unsigned;"NO";"PRI";\N;""
"block_content_revision__field_sottotitolo";"field_sottotitolo_value";longtext;"NO";"";\N;""
"block_content_revision__field_sottotitolo";"field_sottotitolo_format";varchar(255);"YES";"MUL";\N;""
"br_schedule";"id";int unsigned;"NO";"PRI";\N;"auto_increment"
"br_schedule";"vid";int unsigned;"YES";"UNI";\N;""
"br_schedule";"uuid";varchar(128);"NO";"UNI";\N;""
"br_schedule";"user_id";int unsigned;"NO";"MUL";\N;""
"br_schedule";"name";varchar(50);"YES";"";\N;""
"br_schedule";"description";varchar(255);"YES";"";\N;""
"br_schedule";"status";tinyint;"NO";"";\N;""
"br_schedule";"created";int;"YES";"";\N;""
"br_schedule";"changed";int;"YES";"";\N;""
"br_schedule";"scheduled";int;"YES";"";\N;""
"br_schedule";"executed";int;"YES";"";\N;""
"br_schedule";"triggered_by";varchar(255);"YES";"MUL";\N;""
"br_schedule";"update_entity";tinyint;"YES";"";\N;""
"br_schedule";"event";longblob;"YES";"";\N;""
"br_schedule_revision";"id";int unsigned;"NO";"MUL";\N;""
"br_schedule_revision";"vid";int unsigned;"NO";"PRI";\N;"auto_increment"
"br_schedule_revision";"revision_created";int;"YES";"";\N;""
"br_schedule_revision";"revision_user";int unsigned;"YES";"MUL";\N;""
"br_schedule_revision";"revision_log_message";longtext;"YES";"";\N;""
"br_schedule_revision";"user_id";int unsigned;"NO";"MUL";\N;""
"br_schedule_revision";"status";tinyint;"NO";"";\N;""
"br_schedule_revision";"revision_default";tinyint;"YES";"";\N;""
"cache_bootstrap";"cid";varchar(255);"NO";"PRI";;""
"cache_bootstrap";"data";longblob;"YES";"";\N;""
"cache_bootstrap";"expire";int;"NO";"MUL";0;""
"cache_bootstrap";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_bootstrap";"serialized";smallint;"NO";"";0;""
"cache_bootstrap";"tags";longtext;"YES";"";\N;""
"cache_bootstrap";"checksum";varchar(255);"NO";"";\N;""
"cache_config";"cid";varchar(255);"NO";"PRI";;""
"cache_config";"data";longblob;"YES";"";\N;""
"cache_config";"expire";int;"NO";"MUL";0;""
"cache_config";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_config";"serialized";smallint;"NO";"";0;""
"cache_config";"tags";longtext;"YES";"";\N;""
"cache_config";"checksum";varchar(255);"NO";"";\N;""
"cache_container";"cid";varchar(255);"NO";"PRI";;""
"cache_container";"data";longblob;"YES";"";\N;""
"cache_container";"expire";int;"NO";"MUL";0;""
"cache_container";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_container";"serialized";smallint;"NO";"";0;""
"cache_container";"tags";longtext;"YES";"";\N;""
"cache_container";"checksum";varchar(255);"NO";"";\N;""
"cache_data";"cid";varchar(255);"NO";"PRI";;""
"cache_data";"data";longblob;"YES";"";\N;""
"cache_data";"expire";int;"NO";"MUL";0;""
"cache_data";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_data";"serialized";smallint;"NO";"";0;""
"cache_data";"tags";longtext;"YES";"";\N;""
"cache_data";"checksum";varchar(255);"NO";"";\N;""
"cache_default";"cid";varchar(255);"NO";"PRI";;""
"cache_default";"data";longblob;"YES";"";\N;""
"cache_default";"expire";int;"NO";"MUL";0;""
"cache_default";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_default";"serialized";smallint;"NO";"";0;""
"cache_default";"tags";longtext;"YES";"";\N;""
"cache_default";"checksum";varchar(255);"NO";"";\N;""
"cache_discovery";"cid";varchar(255);"NO";"PRI";;""
"cache_discovery";"data";longblob;"YES";"";\N;""
"cache_discovery";"expire";int;"NO";"MUL";0;""
"cache_discovery";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_discovery";"serialized";smallint;"NO";"";0;""
"cache_discovery";"tags";longtext;"YES";"";\N;""
"cache_discovery";"checksum";varchar(255);"NO";"";\N;""
"cache_dynamic_page_cache";"cid";varchar(255);"NO";"PRI";;""
"cache_dynamic_page_cache";"data";longblob;"YES";"";\N;""
"cache_dynamic_page_cache";"expire";int;"NO";"MUL";0;""
"cache_dynamic_page_cache";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_dynamic_page_cache";"serialized";smallint;"NO";"";0;""
"cache_dynamic_page_cache";"tags";longtext;"YES";"";\N;""
"cache_dynamic_page_cache";"checksum";varchar(255);"NO";"";\N;""
"cache_entity";"cid";varchar(255);"NO";"PRI";;""
"cache_entity";"data";longblob;"YES";"";\N;""
"cache_entity";"expire";int;"NO";"MUL";0;""
"cache_entity";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_entity";"serialized";smallint;"NO";"";0;""
"cache_entity";"tags";longtext;"YES";"";\N;""
"cache_entity";"checksum";varchar(255);"NO";"";\N;""
"cache_feeds_download";"cid";varchar(255);"NO";"PRI";;""
"cache_feeds_download";"data";longblob;"YES";"";\N;""
"cache_feeds_download";"expire";int;"NO";"MUL";0;""
"cache_feeds_download";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_feeds_download";"serialized";smallint;"NO";"";0;""
"cache_feeds_download";"tags";longtext;"YES";"";\N;""
"cache_feeds_download";"checksum";varchar(255);"NO";"";\N;""
"cache_menu";"cid";varchar(255);"NO";"PRI";;""
"cache_menu";"data";longblob;"YES";"";\N;""
"cache_menu";"expire";int;"NO";"MUL";0;""
"cache_menu";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_menu";"serialized";smallint;"NO";"";0;""
"cache_menu";"tags";longtext;"YES";"";\N;""
"cache_menu";"checksum";varchar(255);"NO";"";\N;""
"cache_page";"cid";varchar(255);"NO";"PRI";;""
"cache_page";"data";longblob;"YES";"";\N;""
"cache_page";"expire";int;"NO";"MUL";0;""
"cache_page";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_page";"serialized";smallint;"NO";"";0;""
"cache_page";"tags";longtext;"YES";"";\N;""
"cache_page";"checksum";varchar(255);"NO";"";\N;""
"cache_render";"cid";varchar(255);"NO";"PRI";;""
"cache_render";"data";longblob;"YES";"";\N;""
"cache_render";"expire";int;"NO";"MUL";0;""
"cache_render";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_render";"serialized";smallint;"NO";"";0;""
"cache_render";"tags";longtext;"YES";"";\N;""
"cache_render";"checksum";varchar(255);"NO";"";\N;""
"cache_rest";"cid";varchar(255);"NO";"PRI";;""
"cache_rest";"data";longblob;"YES";"";\N;""
"cache_rest";"expire";int;"NO";"MUL";0;""
"cache_rest";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_rest";"serialized";smallint;"NO";"";0;""
"cache_rest";"tags";longtext;"YES";"";\N;""
"cache_rest";"checksum";varchar(255);"NO";"";\N;""
"cache_rules";"cid";varchar(255);"NO";"PRI";;""
"cache_rules";"data";longblob;"YES";"";\N;""
"cache_rules";"expire";int;"NO";"MUL";0;""
"cache_rules";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_rules";"serialized";smallint;"NO";"";0;""
"cache_rules";"tags";longtext;"YES";"";\N;""
"cache_rules";"checksum";varchar(255);"NO";"";\N;""
"cache_toolbar";"cid";varchar(255);"NO";"PRI";;""
"cache_toolbar";"data";longblob;"YES";"";\N;""
"cache_toolbar";"expire";int;"NO";"MUL";0;""
"cache_toolbar";"created";decimal(14,3);"NO";"MUL";0.000;""
"cache_toolbar";"serialized";smallint;"NO";"";0;""
"cache_toolbar";"tags";longtext;"YES";"";\N;""
"cache_toolbar";"checksum";varchar(255);"NO";"";\N;""
"cachetags";"tag";varchar(255);"NO";"PRI";;""
"cachetags";"invalidations";int;"NO";"";0;""
"comment";"cid";int unsigned;"NO";"PRI";\N;"auto_increment"
"comment";"comment_type";varchar(32);"NO";"MUL";\N;""
"comment";"uuid";varchar(128);"NO";"UNI";\N;""
"comment";"langcode";varchar(12);"NO";"";\N;""
"comment__comment_body";"bundle";varchar(128);"NO";"MUL";;""
"comment__comment_body";"deleted";tinyint;"NO";"PRI";0;""
"comment__comment_body";"entity_id";int unsigned;"NO";"PRI";\N;""
"comment__comment_body";"revision_id";int unsigned;"NO";"MUL";\N;""
"comment__comment_body";"langcode";varchar(32);"NO";"PRI";;""
"comment__comment_body";"delta";int unsigned;"NO";"PRI";\N;""
"comment__comment_body";"comment_body_value";longtext;"NO";"";\N;""
"comment__comment_body";"comment_body_format";varchar(255);"YES";"MUL";\N;""
"comment_entity_statistics";"entity_id";int unsigned;"NO";"PRI";0;""
"comment_entity_statistics";"entity_type";varchar(32);"NO";"PRI";node;""
"comment_entity_statistics";"field_name";varchar(32);"NO";"PRI";;""
"comment_entity_statistics";"cid";int;"NO";"";0;""
"comment_entity_statistics";"last_comment_timestamp";int;"NO";"MUL";0;""
"comment_entity_statistics";"last_comment_name";varchar(60);"YES";"";\N;""
"comment_entity_statistics";"last_comment_uid";int unsigned;"NO";"MUL";0;""
"comment_entity_statistics";"comment_count";int unsigned;"NO";"MUL";0;""
"comment_field_data";"cid";int unsigned;"NO";"PRI";\N;""
"comment_field_data";"comment_type";varchar(32);"NO";"MUL";\N;""
"comment_field_data";"langcode";varchar(12);"NO";"PRI";\N;""
"comment_field_data";"status";tinyint;"NO";"MUL";\N;""
"comment_field_data";"uid";int unsigned;"NO";"MUL";\N;""
"comment_field_data";"pid";int unsigned;"YES";"MUL";\N;""
"comment_field_data";"entity_id";int unsigned;"YES";"MUL";\N;""
"comment_field_data";"subject";varchar(64);"YES";"";\N;""
"comment_field_data";"name";varchar(60);"YES";"";\N;""
"comment_field_data";"mail";varchar(254);"YES";"";\N;""
"comment_field_data";"homepage";varchar(255);"YES";"";\N;""
"comment_field_data";"hostname";varchar(128);"YES";"";\N;""
"comment_field_data";"created";int;"NO";"MUL";\N;""
"comment_field_data";"changed";int;"YES";"";\N;""
"comment_field_data";"thread";varchar(255);"NO";"";\N;""
"comment_field_data";"entity_type";varchar(32);"NO";"";\N;""
"comment_field_data";"field_name";varchar(32);"NO";"";\N;""
"comment_field_data";"default_langcode";tinyint;"NO";"";\N;""
"config";"collection";varchar(255);"NO";"PRI";;""
"config";"name";varchar(255);"NO";"PRI";;""
"config";"data";longblob;"YES";"";\N;""
"config_export";"collection";varchar(255);"NO";"PRI";;""
"config_export";"name";varchar(255);"NO";"PRI";;""
"config_export";"data";longblob;"YES";"";\N;""
"config_snapshot";"collection";varchar(255);"NO";"PRI";;""
"config_snapshot";"name";varchar(255);"NO";"PRI";;""
"config_snapshot";"data";longblob;"YES";"";\N;""
"crop";"cid";int unsigned;"NO";"PRI";\N;"auto_increment"
"crop";"vid";int unsigned;"YES";"UNI";\N;""
"crop";"type";varchar(32);"NO";"MUL";\N;""
"crop";"uuid";varchar(128);"NO";"UNI";\N;""
"crop";"langcode";varchar(12);"NO";"";\N;""
"crop_field_data";"cid";int unsigned;"NO";"PRI";\N;""
"crop_field_data";"vid";int unsigned;"NO";"MUL";\N;""
"crop_field_data";"type";varchar(32);"NO";"MUL";\N;""
"crop_field_data";"langcode";varchar(12);"NO";"PRI";\N;""
"crop_field_data";"entity_id";int unsigned;"YES";"";\N;""
"crop_field_data";"entity_type";varchar(255);"YES";"";\N;""
"crop_field_data";"uri";varchar(255);"YES";"MUL";\N;""
"crop_field_data";"height";int unsigned;"YES";"";\N;""
"crop_field_data";"width";int unsigned;"YES";"";\N;""
"crop_field_data";"x";int unsigned;"YES";"";\N;""
"crop_field_data";"y";int unsigned;"YES";"";\N;""
"crop_field_data";"default_langcode";tinyint;"NO";"";\N;""
"crop_field_data";"revision_translation_affected";tinyint;"YES";"";\N;""
"crop_field_revision";"cid";int unsigned;"NO";"MUL";\N;""
"crop_field_revision";"vid";int unsigned;"NO";"PRI";\N;""
"crop_field_revision";"langcode";varchar(12);"NO";"PRI";\N;""
"crop_field_revision";"entity_id";int unsigned;"YES";"";\N;""
"crop_field_revision";"entity_type";varchar(255);"YES";"";\N;""
"crop_field_revision";"uri";varchar(255);"YES";"";\N;""
"crop_field_revision";"height";int unsigned;"YES";"";\N;""
"crop_field_revision";"width";int unsigned;"YES";"";\N;""
"crop_field_revision";"x";int unsigned;"YES";"";\N;""
"crop_field_revision";"y";int unsigned;"YES";"";\N;""
"crop_field_revision";"default_langcode";tinyint;"NO";"";\N;""
"crop_field_revision";"revision_translation_affected";tinyint;"YES";"";\N;""
"crop_revision";"cid";int unsigned;"NO";"MUL";\N;""
"crop_revision";"vid";int unsigned;"NO";"PRI";\N;"auto_increment"
"crop_revision";"langcode";varchar(12);"NO";"";\N;""
"crop_revision";"revision_timestamp";int;"YES";"";\N;""
"crop_revision";"revision_uid";int unsigned;"YES";"MUL";\N;""
"crop_revision";"revision_log";longtext;"YES";"";\N;""
"crop_revision";"revision_default";tinyint;"YES";"";\N;""
"draggableviews_structure";"dvid";int unsigned;"NO";"PRI";\N;"auto_increment"
"draggableviews_structure";"view_name";varchar(128);"NO";"MUL";;""
"draggableviews_structure";"view_display";varchar(64);"NO";"";;""
"draggableviews_structure";"args";varchar(255);"YES";"";;""
"draggableviews_structure";"entity_id";int unsigned;"NO";"MUL";\N;""
"draggableviews_structure";"weight";int;"NO";"MUL";0;""
"draggableviews_structure";"parent";int;"NO";"";0;""
"eu_cookie_compliance_basic_consent";"cid";int;"NO";"PRI";\N;"auto_increment"
"eu_cookie_compliance_basic_consent";"uid";int unsigned;"NO";"MUL";0;""
"eu_cookie_compliance_basic_consent";"timestamp";int;"NO";"";0;""
"eu_cookie_compliance_basic_consent";"ip_address";varchar(45);"NO";"";;""
"eu_cookie_compliance_basic_consent";"consent_type";varchar(255);"NO";"";;""
"eu_cookie_compliance_basic_consent";"revision_id";int unsigned;"NO";"";0;""
"event_log_track";"lid";int;"NO";"PRI";\N;"auto_increment"
"event_log_track";"type";varchar(50);"NO";"MUL";\N;""
"event_log_track";"operation";varchar(50);"NO";"";\N;""
"event_log_track";"path";varchar(2048);"NO";"";;""
"event_log_track";"ref_numeric";int;"YES";"";\N;""
"event_log_track";"ref_char";varchar(255);"YES";"";\N;""
"event_log_track";"description";mediumtext;"NO";"";\N;""
"event_log_track";"uid";int;"NO";"MUL";\N;""
"event_log_track";"ip";varchar(255);"YES";"MUL";\N;""
"event_log_track";"created";int;"NO";"MUL";\N;""
"feeds_clean_list";"feed_id";int unsigned;"NO";"PRI";\N;""
"feeds_clean_list";"entity_id";int unsigned;"NO";"PRI";\N;""
"feeds_feed";"fid";int unsigned;"NO";"PRI";\N;"auto_increment"
"feeds_feed";"type";varchar(32);"NO";"MUL";\N;""
"feeds_feed";"uuid";varchar(128);"NO";"UNI";\N;""
"feeds_feed";"title";varchar(255);"YES";"";\N;""
"feeds_feed";"uid";int unsigned;"YES";"MUL";\N;""
"feeds_feed";"status";tinyint;"YES";"";\N;""
"feeds_feed";"created";int;"YES";"";\N;""
"feeds_feed";"changed";int;"YES";"";\N;""
"feeds_feed";"imported";int;"YES";"";\N;""
"feeds_feed";"next";int;"YES";"";\N;""
"feeds_feed";"queued";int;"YES";"";\N;""
"feeds_feed";"source";varchar(2048);"YES";"";\N;""
"feeds_feed";"config";longblob;"YES";"";\N;""
"feeds_feed";"item_count";int;"YES";"";\N;""
"feeds_subscription";"fid";int unsigned;"NO";"PRI";\N;"auto_increment"
"feeds_subscription";"topic";varchar(2048);"YES";"";\N;""
"feeds_subscription";"hub";varchar(2048);"YES";"";\N;""
"feeds_subscription";"lease";int;"YES";"";\N;""
"feeds_subscription";"expires";int;"YES";"";\N;""
"feeds_subscription";"secret";varchar(32);"YES";"";\N;""
"feeds_subscription";"token";varchar(20);"YES";"";\N;""
"feeds_subscription";"state";varchar(32);"YES";"";\N;""
"file_managed";"fid";int unsigned;"NO";"PRI";\N;"auto_increment"
"file_managed";"uuid";varchar(128);"NO";"UNI";\N;""
"file_managed";"langcode";varchar(12);"NO";"";\N;""
"file_managed";"uid";int unsigned;"YES";"MUL";\N;""
"file_managed";"filename";varchar(255);"YES";"";\N;""
"file_managed";"uri";varchar(255);"NO";"MUL";\N;""
"file_managed";"filemime";varchar(255);"YES";"";\N;""
"file_managed";"filesize";bigint unsigned;"YES";"";\N;""
"file_managed";"status";tinyint;"NO";"MUL";\N;""
"file_managed";"created";int;"YES";"";\N;""
"file_managed";"changed";int;"NO";"MUL";\N;""
"file_usage";"fid";int unsigned;"NO";"PRI";\N;""
"file_usage";"module";varchar(50);"NO";"PRI";;""
"file_usage";"type";varchar(64);"NO";"PRI";;""
"file_usage";"id";varchar(64);"NO";"PRI";0;""
"file_usage";"count";int unsigned;"NO";"";0;""
"flag_counts";"flag_id";varchar(32);"NO";"PRI";\N;""
"flag_counts";"entity_type";varchar(32);"NO";"MUL";\N;""
"flag_counts";"entity_id";varchar(166);"NO";"PRI";\N;""
"flag_counts";"count";int unsigned;"YES";"";\N;""
"flag_counts";"last_updated";int unsigned;"YES";"";\N;""
"flagging";"id";int unsigned;"NO";"PRI";\N;"auto_increment"
"flagging";"flag_id";varchar(32);"NO";"MUL";\N;""
"flagging";"uuid";varchar(128);"NO";"UNI";\N;""
"flagging";"entity_type";varchar(255);"YES";"";\N;""
"flagging";"entity_id";varchar(255);"YES";"MUL";\N;""
"flagging";"global";tinyint;"YES";"";\N;""
"flagging";"uid";int unsigned;"NO";"MUL";\N;""
"flagging";"session_id";varchar(255);"YES";"";\N;""
"flagging";"created";int;"YES";"";\N;""
"flood";"fid";int;"NO";"PRI";\N;"auto_increment"
"flood";"event";varchar(64);"NO";"MUL";;""
"flood";"identifier";varchar(128);"NO";"";;""
"flood";"timestamp";int;"NO";"";0;""
"flood";"expiration";int;"NO";"MUL";0;""
"history";"uid";int;"NO";"PRI";0;""
"history";"nid";int unsigned;"NO";"PRI";0;""
"history";"timestamp";int;"NO";"";0;""
"job_schedule";"jid";int unsigned;"NO";"PRI";\N;"auto_increment"
"job_schedule";"uuid";varchar(128);"NO";"UNI";\N;""
"job_schedule";"name";varchar(128);"YES";"MUL";\N;""
"job_schedule";"type";varchar(128);"YES";"";\N;""
"job_schedule";"id";int;"YES";"";\N;""
"job_schedule";"period";int;"YES";"";\N;""
"job_schedule";"crontab";varchar(255);"YES";"";\N;""
"job_schedule";"data";longblob;"YES";"";\N;""
"job_schedule";"periodic";tinyint;"YES";"";\N;""
"job_schedule";"last";int;"YES";"";\N;""
"job_schedule";"next";int;"NO";"MUL";\N;""
"job_schedule";"scheduled";int;"NO";"MUL";\N;""
"key_value";"collection";varchar(128);"NO";"PRI";;""
"key_value";"name";varchar(128);"NO";"PRI";;""
"key_value";"value";longblob;"NO";"";\N;""
"key_value_expire";"collection";varchar(128);"NO";"PRI";;""
"key_value_expire";"name";varchar(128);"NO";"PRI";;""
"key_value_expire";"value";longblob;"NO";"";\N;""
"key_value_expire";"expire";int;"NO";"MUL";2147483647;""
"locale_file";"project";varchar(255);"NO";"PRI";;""
"locale_file";"langcode";varchar(12);"NO";"PRI";;""
"locale_file";"filename";varchar(255);"NO";"";;""
"locale_file";"version";varchar(128);"NO";"";;""
"locale_file";"uri";varchar(255);"NO";"";;""
"locale_file";"timestamp";int;"YES";"";0;""
"locale_file";"last_checked";int;"YES";"";0;""
"locales_location";"lid";int;"NO";"PRI";\N;"auto_increment"
"locales_location";"sid";int;"NO";"MUL";\N;""
"locales_location";"type";varchar(50);"NO";"";;""
"locales_location";"name";varchar(255);"NO";"";;""
"locales_location";"version";varchar(20);"NO";"";none;""
"locales_source";"lid";int;"NO";"PRI";\N;"auto_increment"
"locales_source";"source";blob;"NO";"MUL";\N;""
"locales_source";"context";varchar(255);"NO";"";;""
"locales_source";"version";varchar(20);"NO";"";none;""
"locales_target";"lid";int;"NO";"PRI";0;""
"locales_target";"translation";blob;"NO";"";\N;""
"locales_target";"language";varchar(12);"NO";"PRI";;""
"locales_target";"customized";int;"NO";"";0;""
"media";"mid";int unsigned;"NO";"PRI";\N;"auto_increment"
"media";"vid";int unsigned;"YES";"UNI";\N;""
"media";"bundle";varchar(32);"NO";"MUL";\N;""
"media";"uuid";varchar(128);"NO";"UNI";\N;""
"media";"langcode";varchar(12);"NO";"";\N;""
"media__field_media_audio_file";"bundle";varchar(128);"NO";"MUL";;""
"media__field_media_audio_file";"deleted";tinyint;"NO";"PRI";0;""
"media__field_media_audio_file";"entity_id";int unsigned;"NO";"PRI";\N;""
"media__field_media_audio_file";"revision_id";int unsigned;"NO";"MUL";\N;""
